claims_per_month,avg_payout_requested,trigger_type_diversity,time_between_claims_hours,zone_risk_score,platform_tenure_months,gps_mismatch_count,ip_city_mismatch_count,label
0,579.734674246058,2,252.84263026298666,79.20982605837048,23,0,0,0
3,863.767480676085,2,126.10692897779893,62.384518416530035,7,0,0,0
3,728.2914944874781,3,38.48696604104634,52.1725502641,11,0,0,0
3,573.3915305245076,1,119.08494672622359,78.34440168261904,8,0,0,0
5,974.3448848368273,3,221.9953546010877,47.37680661641775,30,0,0,0
1,308.3661138901963,4,20.012974001663316,66.0571473695958,24,0,0,0
2,886.6127893482638,4,301.1490414448671,50.14650755448331,5,0,0,0
2,715.104816481644,1,469.38052045715057,58.6257169971693,29,0,0,0
2,699.764572609393,1,97.84623472318751,79.66783819376008,15,0,0,0
1,678.8019907830176,3,7.981780646995466,23.99256890649065,19,0,0,0
0,760.8813526301549,4,108.91397217232044,59.89912720932081,20,0,0,0
1,417.33193305543944,4,51.62543047049256,22.01559134477045,8,0,0,0
3,693.2912748353837,1,61.73828455810405,64.48519345177999,11,0,0,0
2,550.6876067681147,4,90.95823233232291,48.95914509877261,13,0,0,0
4,730.0274673847125,4,201.66845140271997,54.35545484386748,7,1,0,0
1,913.3215665670178,2,65.5818449168447,51.27597431374663,31,0,0,0
0,963.0648333618028,3,88.1412269388346,45.30972815448763,27,0,0,0
2,679.9591550828743,4,102.42941440409587,74.43111930405054,16,0,0,0
3,593.9827890191141,2,71.05815347793153,33.35677474241362,35,0,0,0
1,660.4916115049771,4,81.66364594478895,39.111114595117044,17,1,0,0
2,512.7295085921678,4,62.49223606685772,31.167334671725364,19,0,0,0
3,970.8738640698842,1,4.93454158955371,58.68564291362527,7,1,1,0
1,847.3434242052787,2,32.11894908453596,64.68828517829324,22,0,0,0
1,986.1774765583675,3,4.270809271752351,61.8972155978355,10,0,0,0
8,1727.3561844493452,1,19.58081509865307,14.238884886245454,0,3,0,1
1,992.4421157162196,1,29.285401402835923,63.19397818308197,16,0,0,0
3,637.8684888602654,3,68.04919370509279,72.3727587997,7,0,0,0
2,1212.08453968894,4,16.085778057029884,48.65303932383027,24,1,0,0
3,1630.182953796199,1,2.1967687762330836,26.14725444096135,1,5,5,1
2,700.5938618668183,4,2.125371612838444,42.29281970019051,8,1,0,0
3,635.0078626817518,3,119.79777524171043,53.853893771454295,9,0,0,0
3,770.6736451912795,3,39.2121439449386,59.94936584333554,10,0,0,0
8,1677.4324162617934,1,4.662016041764764,22.966049234516305,0,5,2,1
8,1721.3670488617468,1,3.535720722939411,17.124541908282943,1,1,3,1
2,776.5179399310261,2,77.73208456538171,36.8801444483849,16,0,0,0
1,596.4101107729699,2,94.90115852252389,39.886284140876796,21,1,0,0
3,582.4324904572761,1,28.48658234977148,32.84107203428037,5,0,0,0
4,1696.50888351058,1,2.164535875785369,11.590041587936991,0,0,4,1
9,1909.3815745555212,1,4.182096441265267,27.08414167356585,1,3,1,1
2,1111.6589913544897,4,113.48604913871702,47.43382434394191,20,0,0,0
0,904.1953746983543,1,37.69826717627826,47.421641301225804,22,1,0,0
1,893.5149824964315,3,59.64164018928163,49.73226648464666,14,0,0,0
4,808.3083681127789,3,43.87370371156131,76.58648406320793,33,1,0,0
4,927.3740316790806,4,145.6380606723873,53.31869343722345,27,0,0,0
0,576.9506927246372,1,165.76202498325478,66.4824120809337,22,0,0,0
4,780.3937857440424,1,35.10242554724596,34.455535548294684,12,0,0,0
2,779.7604745364936,1,9.070537037966828,36.72696475238783,20,0,0,0
6,1665.2646867736157,1,9.89485432676026,14.433296170618954,0,3,2,1
2,980.1550263581116,1,7.067270855933251,63.021637773084855,5,0,0,0
2,1122.4623055807097,3,113.23970150340531,66.43748478698541,25,0,0,0
7,1672.873950053992,1,0.6648142193273061,27.794130191966037,0,1,2,1
11,1702.8931328869855,1,0.36091105099467935,16.421370888649264,0,0,1,1
0,757.4560166138161,4,49.47631332934415,33.8323275302548,28,1,0,0
2,767.742913267771,3,114.59505161892764,43.62189278345899,30,0,1,0
5,484.7382006457509,4,134.58690749619555,26.10061378585951,26,0,0,0
7,813.2188492597952,1,48.078923919270615,59.65194550410478,8,1,0,0
0,1120.9470024589707,3,1.0,72.8103308384454,32,0,0,0
2,815.4157222762988,1,17.466832046077442,45.46978247163005,19,0,0,0
0,1093.1671957205926,4,17.887878971612793,41.232824387816606,18,0,0,0
2,801.6133518822272,1,20.569476019390887,34.26308156124754,14,1,0,0
2,701.4230175232564,2,30.756857017560453,30.05494899944117,33,0,0,0
5,1692.6926525159897,1,0.16493497840515206,21.03470264362153,2,3,0,1
6,1782.5767697128522,1,4.183945080500508,25.330589844265607,0,0,2,1
4,829.4021667225727,4,45.38200699617407,79.35510370877327,18,1,0,0
3,963.7189236686427,4,80.86577237577357,68.38402160787979,18,0,0,0
3,848.4582371604637,1,179.83424290950313,37.61230032422502,9,1,0,0
1,328.307171558507,4,110.70369567102601,41.202793215932076,16,0,0,0
2,1135.756761477371,2,96.88138318649509,69.76007549792936,34,0,0,0
2,806.5671618202614,1,98.91080141628318,70.50562449279751,13,0,0,0
6,1943.0709271876808,1,3.2348685917941005,10.881935571334658,2,2,2,1
2,744.2687332241381,4,12.775469717913763,54.46727829744775,9,0,0,0
1,711.8195622778289,2,122.39124531568802,30.509991433984272,19,1,0,0
1,777.574711277731,1,197.7084589173288,30.664169277292242,17,0,0,0
0,1008.4381153966035,2,67.70386064007519,38.84127503500343,35,0,0,0
1,764.2586230873009,4,110.09348446664411,31.73342065734734,5,0,0,0
4,979.7453548027288,2,421.03850486098247,74.39001659080441,7,0,0,0
2,1229.7412587874103,3,21.64799630885288,29.971455176930707,19,0,0,0
0,393.12882642312746,4,28.173153525133827,37.944865115274055,3,0,0,0
3,967.6354439198875,1,100.92367721151984,53.060029145686656,9,0,0,0
0,781.4801209463214,1,40.57184760854842,45.86987889866383,3,0,0,0
2,472.7396429801081,4,117.47003342896521,58.795277031729555,10,0,1,0
1,458.53140927008,1,69.8348231531033,51.40632253160081,26,0,0,0
1,1217.2528201616162,2,11.90858752579086,57.36029504771922,26,0,1,0
2,897.257460948179,1,33.02819809823755,44.65473758797121,29,0,0,0
4,1015.6852388945892,1,90.46688105993705,51.40482962708677,14,0,0,0
3,757.8930119294016,4,60.57534708459016,51.599336969777305,25,0,0,0
1,767.9922652841311,4,57.12043492442695,70.64281792207186,33,0,0,0
1,679.8986729172074,4,91.8937270198926,24.325944149010795,11,0,0,0
14,1910.0264039544859,1,3.475187343852935,13.292135423964353,1,5,1,1
0,1126.9725702320693,2,30.41719695736458,66.38424875410217,10,0,0,0
1,869.3920593768962,4,69.49850304370463,76.77201271860406,15,0,0,0
2,602.2255304728833,3,11.376376443633433,26.377691629978486,5,0,0,0
0,634.9668200508925,4,88.8129082958774,44.130225622544636,21,0,0,0
2,732.6910157581779,2,28.354338928149986,39.67517308228699,5,1,0,0
0,922.4343237237168,3,255.64902399046488,33.79033974792172,26,0,0,0
7,1781.9911040886834,1,5.647568088805238,28.593703254295782,2,2,2,1
1,1069.334600280229,3,67.30067385073134,78.63508371435671,17,0,0,0
3,812.4863406654886,4,66.26796880655374,61.448986946781616,11,0,0,0
1,824.4981850748909,4,373.70825265318797,36.83027050264944,21,0,0,0
2,789.5052287873901,4,110.62835539225009,58.585613493139846,31,0,0,0
2,1073.9736446723823,4,24.114494378865082,78.95706522628598,6,0,1,0
3,661.9974800370829,4,11.482626330446255,78.73794598711638,9,0,0,0
1,896.3935654105785,2,202.5455168689772,21.63899436352622,5,0,0,0
10,1899.2684774405063,1,0.7786001453223518,17.684338100921607,2,2,2,1
1,641.3557605585931,4,35.93720567316345,39.92048067903133,8,0,0,0
3,501.9504953401907,4,61.59315217827887,47.993702308595715,10,0,0,0
1,694.5867763520451,4,10.26409357435968,24.182280962404075,28,0,0,0
3,938.1401778697274,3,57.79135501809557,54.246501077978216,12,0,0,0
9,1585.995726640274,1,19.186768872765857,26.123948173296757,1,2,3,1
0,891.9274636149632,3,21.35829602868723,30.069325647375457,12,0,1,0
3,905.0338626524336,1,134.90436806352463,40.83730153978142,15,0,0,0
3,689.4151967527532,4,75.07861364582725,20.08701899546763,24,0,0,0
0,754.9303732573985,4,80.92409428450495,71.90724825248063,19,1,0,0
1,341.741438623187,2,71.27693608711093,76.77781522630647,32,0,0,0
2,1179.3777495744162,1,120.75914499422699,51.06299997815128,31,0,0,0
3,885.5353542019859,4,51.166706895673634,38.67936076090031,32,0,0,0
4,734.5348849855209,3,12.65953414832748,37.00653436722498,19,0,0,0
1,1051.7772411485644,3,161.91660511747367,34.67357305587736,28,0,0,0
1,667.461703302393,1,124.13711538644272,20.618203907224338,6,0,0,0
3,914.4346262074927,3,80.93446977630936,59.56756381863868,22,0,1,0
3,810.6768544958044,2,32.73362322049848,31.42800940987101,34,0,0,0
0,1015.0042429021819,4,147.86967940696627,69.08369361633552,30,0,0,0
8,1866.6524444572556,1,2.0524829000980755,19.858365314191463,1,2,1,1
3,1382.8218431536725,2,57.679131899679206,53.40143488461856,4,0,0,0
1,679.0562266729044,3,52.14118311873933,27.70097374601148,29,0,0,0
7,1840.2285807166195,1,3.3550281750903173,13.734940838805976,0,3,1,1
2,966.5890885650083,2,29.161644553489115,57.413924370036085,20,0,0,0
10,1656.5589074773372,1,1.201978564464784,17.26084640065545,0,2,1,1
0,448.97959374576766,4,4.614408370981943,55.44027410055014,5,0,0,0
2,717.293748238134,2,39.0425127751802,47.770535422059694,32,0,0,0
3,1595.3206609233403,1,2.05404324209466,23.65967933617867,2,3,1,1
2,572.661376215837,3,14.179540574850396,44.70663743374144,13,0,0,0
1,1013.1927439463652,1,42.05476096874458,65.46943964182728,29,1,1,0
2,682.1153177026218,2,66.03680440872488,69.59255936434259,35,0,0,0
3,684.9325263913842,4,57.83799259638037,31.511068572311313,15,0,0,0
1,643.4266979405018,2,11.624989799152047,29.532740851724242,15,0,0,0
4,1766.6654478415946,1,0.7272556118627083,16.662187412389933,1,4,1,1
4,1022.2290430408925,2,108.01434766131163,63.8448150108497,21,1,0,0
0,661.408599093757,2,63.12088040431375,69.66885466064751,20,0,0,0
8,900.2180018617544,1,9.90847779113957,78.99311388777267,35,0,0,0
0,939.2379431652491,1,83.26354873911909,73.70902400541681,7,0,0,0
1,615.5893905645146,1,69.70487061705725,39.18807475687932,17,0,0,0
9,1933.7430395987355,1,9.597576293089315,28.323131499442514,1,4,2,1
2,531.1307990338896,4,47.80450275425676,69.37173105970757,17,1,0,0
8,1833.451937995158,1,5.747797455813327,25.031003796849394,1,5,1,1
1,1008.8772103753158,3,104.81517429344956,62.76864542694584,28,0,0,0
0,1018.0944338113987,4,140.20060402157338,29.56390044034585,33,0,0,0
3,919.9157255627507,1,7.396465868671086,77.1437104438371,35,0,0,0
2,814.4690434638363,1,90.05352244011114,38.98095726578193,31,1,0,0
3,753.3845615898356,1,4.055069653471072,39.76024471681404,33,0,0,0
2,914.2205257182736,3,137.55287846381253,55.56367875439164,9,0,0,0
1,783.785851798395,4,15.614113488698372,35.22222845072873,35,0,0,0
4,1758.8420085524635,1,1.4638397185588548,16.663488831343226,0,0,4,1
17,1877.1509117559172,1,2.492998984623508,19.976239495304533,2,3,2,1
5,1006.5948469828062,4,33.80939587223651,44.18194007255293,30,0,0,0
2,1038.8428966027984,2,18.680486657123225,46.3537686301513,11,0,0,0
2,861.3579924922904,2,38.02807570774702,50.804131119537274,31,0,0,0
1,1074.4557826893151,1,20.941227957350833,76.38697678571842,5,0,0,0
1,875.5423520227667,2,65.0376636934742,54.81402940611979,11,0,1,0
3,864.8691422389848,3,18.524047921888002,59.64905500759036,27,0,0,0
4,917.6275902685319,3,88.90055499547944,55.78673537047183,20,0,0,0
5,988.2133102903862,3,243.21733114450205,77.27370472089427,20,1,0,0
1,856.1782253202343,3,182.0891893236695,67.73780685783846,5,0,0,0
0,776.702329473793,3,89.76061661995642,55.37985838307416,22,0,0,0
0,433.3659096602545,1,106.1327346457019,41.864282368174244,26,0,0,0
3,899.4435960906387,3,162.7556026938346,57.65796932833208,16,0,0,0
0,832.7848127186859,4,32.184370995767445,40.21367391074347,32,0,0,0
1,692.52748213732,1,3.349794142538139,67.7518588506341,15,0,0,0
5,1047.3743787036449,1,37.183412666737226,76.57699968320048,35,1,0,0
1,695.7490386287741,1,12.12015198615449,45.55554676148462,10,0,0,0
2,622.9942735474402,3,18.92417719921617,30.155571452242746,28,0,0,0
2,803.7581022615882,3,193.33989523655686,57.11467495193037,26,0,0,0
3,937.5101439184989,1,95.78761307132152,34.445264889068426,30,0,0,0
1,1012.3569533916642,3,96.72405300046925,66.16803647806785,8,0,0,0
2,714.0199789584227,1,50.00265724424949,51.176425728340774,23,0,0,0
1,510.55644414840833,4,8.18237963188276,42.34709861023207,15,0,0,0
0,1016.7097046655739,4,20.67015168665493,20.213985960775673,11,0,0,0
3,1088.0220240138347,1,32.872098942303865,37.81151749796042,31,0,0,0
3,880.1474507383226,2,159.64949674968582,42.056957987079954,8,0,0,0
2,1071.221342842065,4,54.73335884359468,40.384446094244055,21,0,0,0
5,1893.8664486915652,1,1.4554545978188413,15.779788912190877,2,2,3,1
5,846.3345368390121,1,103.79333509286286,23.721252226930332,27,0,0,0
3,860.248496018278,4,160.43176450135292,51.21732385229028,4,0,0,0
3,606.3032706076209,4,25.189486219295667,78.23847480499327,33,0,0,0
2,889.7885436385995,3,73.02361044587236,32.07886705589812,13,0,0,0
4,445.78863953256354,2,17.757134783292482,32.450877515013815,30,0,0,0
1,1156.6229039985012,3,104.82296699810016,49.94235821569181,13,0,0,0
3,391.1339047597851,3,26.51082909029988,34.373080945587475,21,0,0,0
3,574.3316859468434,3,34.044193512713534,47.70337509000146,14,0,0,0
2,881.697067629294,4,7.331372279306452,43.980553426512216,31,0,0,0
1,982.9735596195699,3,186.58245116901625,34.286337648324725,22,0,0,0
0,1261.5376455470903,3,109.47241925635858,27.664587650540977,29,0,0,0
1,836.6483820917437,4,36.18733654414994,31.19637305972183,26,0,0,0
8,1666.1310302147792,1,2.7951111993051314,15.070783948209716,2,3,1,1
1,803.1817316799262,4,61.17125221558746,63.35725249931241,11,0,0,0
3,907.9901801510206,3,16.27010275474659,76.08454177861896,11,0,1,0
2,732.1823410946346,1,70.96683869295221,39.292982480762724,19,0,0,0
0,1149.6271145048568,2,32.96857502064783,54.710069099068704,26,0,0,0
0,591.6226135045263,1,81.08679583682525,28.44585312195321,14,0,0,0
5,1895.5619014648871,1,3.037679794641519,29.654008785436684,0,3,1,1
0,804.1180354469358,3,227.0979691817422,46.793429422044554,6,0,0,0
3,865.0970224649235,1,89.43562333269284,76.93157901066812,13,0,0,0
0,844.0258374975551,1,31.4110434471353,52.59067249245056,34,0,0,0
10,1599.8328945151902,1,3.445422738994839,25.580577687077145,1,6,1,1
3,815.9991710487164,1,38.82747924055491,43.518167740995025,3,1,0,0
1,800.1078725257757,1,105.98873009478905,25.991469468321537,13,1,0,0
2,953.6388256211695,3,145.6271379856974,47.05302178565687,27,0,0,0
2,883.6430156532394,3,30.205184757157845,44.98746313970679,11,0,0,0
4,765.2370299061258,3,215.38680042483287,23.712812674771946,11,0,0,0
4,662.4431410349138,1,55.584415680198454,53.66674314248472,27,0,0,0
3,1043.2331553564509,4,166.98068639629525,72.98941331972325,9,0,0,0
4,839.0324094283636,4,12.926459998926239,61.83398842641624,28,0,0,0
2,821.4571732193158,3,37.8326127382388,44.59039209797276,6,0,0,0
1,953.5018163634595,3,19.801919397734,55.25763783448824,10,0,0,0
1,625.815346025998,2,61.310860491594966,33.06791365422478,3,0,0,0
3,700.7588248516985,4,26.177371091879326,42.51855863814148,18,0,0,0
8,1846.7451833444425,1,0.3188021367283249,20.045140561136506,0,5,2,1
